编号,层级,界面,功能,状态,数据来源与源码依据,核验方式,边界与缺口
F001,一级,首页,导航与一键新建,REAL_LOCAL,features/launcher/quick-create-project.ts与ProjectRepository,浏览器操作及并发回归,同一待保存意图合并；不同项目独立
F002,一级,首页,推荐作品与推广卡片,STATIC,features/home/home-content.ts与home-content-repository.ts,源码及浏览器,本地种子内容；不是线上实时推荐
F003,一级,项目,列表搜索与排序,REAL_LOCAL,features/projects/ProjectsPage.tsx与ProjectRepository,浏览器及既有单测,仅当前浏览器数据库
F004,一级,项目,分组与项目空间,REAL_LOCAL,features/projects/project-space-repository.ts,源码及单测,没有云端团队同步
F005,一级,项目,新建与恢复画布,REAL_LOCAL,features/launcher/quick-create-project.ts与project-store.ts,浏览器跨项目及刷新回归,不清旧数据
F006,一级,作品,本地发布列表,REAL_LOCAL,features/community/community-repository.ts的publishedWorks,浏览器及发布E2E,浏览量点赞种子统计不代表公网统计
F007,一级,Skills,分类搜索收藏筛选,REAL_LOCAL,features/agent/AgentsPage.tsx与agent-skill.ts,浏览器及单测,内置目录；收藏用于本地启用状态
F008,一级,Skills,封面作者与使用量,STATIC,features/agent/AgentsPage.tsx的skillPresentationById,源码,展示值不来自平台实时服务
F009,一级,Skills,运行内置技能并写入画布,REAL_LOCAL,features/agent/builtin-skills.ts与skill-result-node.ts,源码及既有E2E,确定性处理器；不是通用LLM Agent
F010,一级,Skills,模型与生成模式输入区,PARTIAL,features/agent/AgentsPage.tsx,浏览器及源码,模型来自注册表；输入区不等于已接通用自由创作服务
F011,一级,Skills,CLI工作区清单,PARTIAL,features/agent/workspace-manifest-client.ts,源码,依赖可选本地服务；不可用有提示
F012,一级,挑战赛,赛事列表与筛选,STATIC,features/challenges/challenge-catalog.ts,浏览器,本地样例赛事
F013,一级,教程,四分类与教程条目,STATIC,features/tutorials/tutorial-catalog.ts,浏览器及单测,本地中文教程而非远端CMS
F014,一级,积分会员,余额与流水,REAL_LOCAL,features/membership/credit-ledger.ts读取Project.jobs,浏览器及单测,本地估算积分；不是火山账单或可充值钱包
F015,一级,积分会员,套餐说明,STATIC,features/membership/membership-model.ts,浏览器,本地权益展示
F016,一级,积分会员,支付与开通,PLACEHOLDER,features/membership/MembershipPage.tsx,浏览器,支付待接入且按钮禁用；不是BUG
F017,一级,帮助,分类FAQ与本地搜索,REAL_LOCAL,features/help/help-catalog.ts与HelpCenterPage.tsx,浏览器搜索AutoLink,静态答案配本地搜索
F018,二级,画布,空白态与双击创建,REAL_LOCAL,features/canvas/CanvasEmptyStarter.tsx与CanvasNodeTypePicker.tsx,浏览器及既有E2E,创建本地节点不自动付费
